Trip,Site,Treatment,Rep_no.,Wi_Wet,Wf_Ddry,ratio,Dry_est,Orig_mass,prc_Delta,prc_means,prc_SE,mean_Wi,mean_SE,,,,,Amphipoda,Arachnida,coleoptera,orthoptera,hemiptera,dermaptera,Hymenoptera,julida,collembola
2,Beach,large,4,10.98,na,0.738197021,8.10540329,33.4,75.7,,,,,,,,,0,2,0,1,0,0,0,0,0
2,Beach,large,5,20.19,na,0.738197021,14.90419785,33.4,55.4,,,,,,,,,0,5,0,0,0,0,0,0,0
2,Beach,large,6,14.02,na,0.738197021,10.34952223,33,68.6,,,,,,,,,0,1,0,0,0,0,0,0,0
2,Beach,large,7,25.51,na,0.738197021,18.831406,32.9,42.8,,,,,,,,,0,2,0,0,0,0,0,0,0
2,Beach,large,8,15.52,na,0.738197021,11.45681777,32.6,64.9,,,,,,,,,0,3,0,0,0,0,0,0,0
2,Beach,large,9,na,na,0.738197021,na,32.5,na,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Beach,large,10,29.87,na,0.738197021,22.04994502,32.9,33,,,,,,,,,0,9,0,0,0,0,0,0,0
2,Forest,small,1,na,na,0.49817963,na ,32.7,na,58.4,2.940290121,,,,,,,0,0,0,0,0,0,0,0,0
2,Forest,small,2,19.3,na,0.49817963,9.6,32.9,70.8,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Forest,small,3,39.39,na,0.49817963,19.6,32.8,40.2,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Forest,small,4,31.56,na,0.49817963,15.7,32.8,52.1,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Forest,small,5,29.48,na,0.49817963,14.7,32.7,55,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Forest,small,6,23.64,na,0.49817963,11.8,32.9,64.1,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Forest,small,7,23.47,na,0.49817963,11.7,32.7,64.2,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Forest,small,8,27.1,na,0.49817963,13.5,32.8,58.8,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Forest,small,9,24.49,na,0.49817963,12.2,32.8,62.8,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Forest,small,10,27.9,na,0.49817963,13.9,32.4,57.1,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Forest,large,1,16.92,na,0.50973091,8.6,32.9,73.9,65.1,2.895555876,,,,,,,0,0,1,0,0,0,0,0,0
2,Forest,large,2,20.19,na,0.50973091,10.3,32.9,68.7,,,,,,,,,0,0,0,0,0,0,0,1,0
2,Forest,large,3,35.48,na,0.50973091,18.1,32.8,44.8,,,,,,,,,0,1,0,0,0,0,0,0,0
2,Forest,large,4,25.22,na,0.50973091,12.9,33,60.9,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Forest,large,5,25.45,na,0.50973091,13,32.9,60.5,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Forest,large,6,21.13,na,0.50973091,10.8,32.9,67.2,,,,,,,,,0,2,0,0,0,0,0,0,0
2,Forest,large,7,13.39,na,0.50973091,6.8,33,79.4,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Forest,large,8,22.45,na,0.50973091,11.4,32.9,65.3,,,,,,,,,0,1,0,0,0,0,0,0,0
2,Forest,large,9,21.4,na,0.50973091,10.9,32.8,66.8,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Forest,large,10,23.57,na,0.50973091,12,32.7,63.3,,,,,,,,,0,0,0,0,0,0,0,0,0
3,Beach,small,1,18.16,15.14,0.833700441,15.14,32.7,53.7,51.5,1.5339779,,,,,,,,,,,,,,,
3,Beach,small,2,na,na,,na,31.3,,,,,,,,,,,,,,,,,,
3,Beach,small,3,19.15,16.72,0.87310705,16.72,33.7,50.4,,,,,,,,,,,,,,,,,
3,Beach,small,4,18.08,15.37,0.850110619,15.37,32.4,52.6,,,,,,,,,,,,,,,,,
3,Beach,small,5,na,na,,na,32.5,,,,,,,,,,,,,,,,,,
3,Beach,small,6,20.56,18.04,0.877431907,18.04,32.5,44.5,,,,,,,,,,,,,,,,,
3,Beach,small,7,na,na,,na,32.9,,,,,,,,,,,,,,,,,,
3,Beach,small,8,20,16.99,0.8495,16.99,32.8,48.2,,,,,,,,,,,,,,,,,
3,Beach,small,9,19.18,14.89,0.77632951,14.89,33.1,55,,,,,,,,,,,,,,,,,
3,Beach,small,10,17.27,14.6,0.845396642,14.6,33.1,55.9,,,,,,,,,,,,,,,,,
3,Beach,large,1,na,na,na,na,33.2,na,0,0,,,,,,,,,,,,,,,
3,Beach,large,2,na,na,na,na,32.6,na,,,,,,,,,,,,,,,,,
3,Beach,large,3,na,na,na,na,32.4,na,,,,,,,,,,,,,,,,,
3,Beach,large,4,na,na,na,na,33.4,na,,,,,,,,,,,,,,,,,
3,Beach,large,5,na,na,na,na,33.4,na,,,,,,,,,,,,,,,,,
3,Beach,large,6,na,na,na,na,33,na,,,,,,,,,,,,,,,,,
3,Beach,large,7,na,na,na,na,32.9,na,,,,,,,,,,,,,,,,,
3,Beach,large,8,na,na,na,na,32.6,na,,,,,,,,,,,,,,,,,
3,Beach,large,9,na,na,na,na,32.5,na,,,,,,,,,,,,,,,,,
3,Beach,large,10,na,na,na,na,32.9,na,,,,,,,,,,,,,,,,,
3,Forest,small,1,na,na,na,na,32.7,na,63.5,3.207158213,,,,,,,,,,,,,,,
3,Forest,small,2,na,na,na,na,32.9,na,,,,,,,,,,,,,,,,,
3,Forest,small,3,21.54,10.21,0.474001857,10.21,32.8,68.9,,,,,,,,,,,,,,,,,
3,Forest,small,4,18.6,9.56,0.513978495,9.56,32.8,70.9,,,,,,,,,,,,,,,,,
3,Forest,small,5,21.66,11.11,0.512927054,11.11,32.7,66,,,,,,,,,,,,,,,,,
3,Forest,small,6,28.72,16.6,0.577994429,16.6,32.9,49.5,,,,,,,,,,,,,,,,,
3,Forest,small,7,24.47,13.77,0.562729873,13.77,32.7,57.9,,,,,,,,,,,,,,,,,
3,Forest,small,8,29.19,12.99,0.445015416,12.99,32.8,60.4,,,,,,,,,,,,,,,,,
3,Forest,small,9,25.21,14.22,0.56406188,14.22,32.8,56.6,,,,,,,,,,,,,,,,,
3,Forest,small,10,21.51,7.2,0.334728033,7.2,32.4,77.8,,,,,,,,,,,,,,,,,
3,Forest,large,1,5.97,2.71,0.453936348,2.71,32.9,91.8,78.5,2.698455714,,,,,,,,,,,,,,,
3,Forest,large,2,16.62,8.81,0.530084236,8.81,32.9,73.2,,,,,,,,,,,,,,,,,
3,Forest,large,3,19.27,11.8,0.612350804,11.8,32.8,64,,,,,,,,,,,,,,,,,
3,Forest,large,4,10.27,4.85,0.47224927,4.85,33,85.3,,,,,,,,,,,,,,,,,
3,Forest,large,5,16.71,8.99,0.538001197,8.99,32.9,72.7,,,,,,,,,,,,,,,,,
3,Forest,large,6,13.57,6.97,0.513633014,6.97,32.9,78.8,,,,,,,,,,,,,,,,,
3,Forest,large,7,13.4,6.58,0.491044776,6.58,33,80.1,,,,,,,,,,,,,,,,,
3,Forest,large,8,13.25,4.01,0.302641509,4.01,32.9,87.8,,,,,,,,,,,,,,,,,
3,Forest,large,9,18.82,9.69,0.51487779,9.69,32.8,70.5,,,,,,,,,,,,,,,,,
3,Forest,large,10,9.14,6.11,0.668490153,6.11,32.7,81.3,,,,,,,,,,,,,,,,,
